Reaction Date,Reaction Type,Parent Type,Parent ID
"Aug 10, 2024, 7:37:12 PM",Kudos,Activity,12113433589
"Aug 11, 2024, 2:30:24 AM",Kudos,Activity,12115568120
"Aug 11, 2024, 2:30:30 AM",Kudos,Activity,12115426559
"Aug 11, 2024, 3:03:11 PM",Kudos,Activity,12120845635
"Aug 11, 2024, 6:45:58 PM",Kudos,Activity,12121821058
"Aug 12, 2024, 4:17:17 PM",Kudos,Activity,12128844568
"Aug 12, 2024, 6:36:28 PM",Kudos,Activity,12130025046
"Aug 13, 2024, 11:55:57 PM",Kudos,Activity,12141135450
"Aug 13, 2024, 11:55:59 PM",Kudos,Activity,12141088535
"Aug 13, 2024, 11:56:09 PM",Kudos,Activity,12137308456
"Aug 13, 2024, 11:56:37 PM",Kudos,Activity,12137761458
"Aug 14, 2024, 12:10:30 AM",Kudos,Activity,12141247397
"Aug 14, 2024, 12:11:03 AM",Kudos,Activity,12141091210
"Aug 14, 2024, 12:11:15 AM",Kudos,Activity,12141089852
"Aug 14, 2024, 1:10:08 AM",Kudos,Activity,12141535469
"Aug 14, 2024, 3:47:31 PM",Kudos,Activity,12146063479
"Aug 14, 2024, 11:54:54 PM",Kudos,Activity,12149623094
"Aug 15, 2024, 1:12:38 AM",Kudos,Activity,12149861104
"Aug 15, 2024, 1:12:47 AM",Kudos,Activity,12149733144
"Aug 15, 2024, 5:29:29 PM",Kudos,Activity,12154415401
"Aug 15, 2024, 11:41:23 PM",Kudos,Activity,12157988067
"Aug 15, 2024, 11:41:33 PM",Kudos,Activity,12157981449
"Aug 15, 2024, 11:50:05 PM",Kudos,Activity,12158295082
"Aug 15, 2024, 11:50:21 PM",Kudos,Activity,12158205865
"Aug 16, 2024, 12:49:50 AM",Kudos,Activity,12158561473
"Aug 16, 2024, 12:50:40 AM",Kudos,Activity,12158545036
"Aug 16, 2024, 12:16:52 PM",Kudos,Activity,12157228163
"Aug 16, 2024, 12:17:07 PM",Kudos,Activity,12161557590
"Aug 16, 2024, 12:17:12 PM",Kudos,Activity,12159164679
"Aug 16, 2024, 12:17:16 PM",Kudos,Activity,12159644608
"Aug 16, 2024, 2:53:54 PM",Kudos,Activity,12162498752
"Aug 16, 2024, 9:19:40 PM",Kudos,Activity,12165388296
"Aug 16, 2024, 9:19:42 PM",Kudos,Activity,12165436235
"Aug 17, 2024, 2:07:58 PM",Kudos,Activity,12170866311
"Aug 17, 2024, 2:25:21 PM",Kudos,Activity,12170762506
"Aug 17, 2024, 2:57:31 PM",Kudos,Activity,12171525855
